,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon,indoor,bts_1_dist,bts_2_dist,bts_3_dist
1081,-93.95,-88.52,-93.3614285714286,-89.1066666666667,-88.59,-85.52,-92.64,-94.976,-96.5925,3.0,2.0,4.0,-8.05071,-34.95056,False,0.007430861322888667,0.00627861003726667,0.008667623665110565
1083,-90.72,-85.21214285714291,-97.1114285714286,-87.03,-92.7425,-97.01857142857142,-86.07,-95.518,-98.9125,3.0,1.0,5.0,-8.05001,-34.94751,False,0.00797422096508405,0.004043345644391471,0.01166825608220945
1084,-92.52,-98.4607142857143,-90.2285714285714,-100.54,-97.16,-94.3495238095238,-88.5333333333333,-96.5766666666667,-100.835,3.0,4.0,2.0,-8.05049,-34.954159999999995,False,0.007392597648999473,0.009786835239235984,0.006108723270869137
1085,-98.96142857142858,-85.2171428571429,-98.0857142857143,-92.01,-98.8375,-96.96,-99.38,-103.0,-94.4075,2.0,2.0,6.0,-8.04735,-34.94757,False,0.005921976021565515,0.006252199932824393,0.01304721426205885
1087,-103.705,-110.425,-107.381666666667,-110.33,-98.64,-98.47,-100.303333333333,-99.57,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True,0.012375903239764088,0.00742136813532404,0.006411956097795822
1089,-87.14,-78.695,-82.9933333333333,-92.71,-94.1525,-91.9132142857143,-90.5533333333333,-98.898,-94.4075,1.0,4.0,5.0,-8.046619999999999,-34.950590000000005,False,0.0034968700290370323,0.008621810946669304,0.011363366578614437
1090,-101.28,-115.0,-100.06,-115.0,-98.615,-96.1,-98.74,-97.474,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1091,-101.196666666667,-115.0,-96.04,-115.0,-96.79,-96.1,-94.42,-92.785,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1094,-95.1414285714286,-97.3871428571429,-93.4914285714286,-98.6583333333333,-88.2125,-92.62857142857142,-64.44,-66.238,-92.26,5.0,5.0,1.0,-8.055530000000001,-34.95541,False,0.012580945910385884,0.0110577684909787,0.002498839730756786
1096,-84.6271428571429,-87.49285714285709,-88.4542857142857,-68.71,-86.0125,-76.02,-88.6833333333333,-91.954,-97.255,4.0,1.0,4.0,-8.05345,-34.94874,False,0.010546492307871441,0.004106363841652432,0.009348930420108304
1098,-98.24,-115.0,-99.31,-115.0,-101.29,-96.98,-96.98,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1100,-109.088333333333,-107.2,-107.01,-108.43,-99.3342857142857,-100.032857142857,-103.475,-100.79,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
1101,-83.12942857142859,-98.2553571428572,-84.39,-101.853333333333,-98.14875,-90.6569047619048,-83.0638888888889,-99.9346666666667,-94.5625,3.0,4.0,2.0,-8.05028,-34.9548,False,0.007409426428545109,0.010458894970312518,0.005917060080818336
1102,-95.2757142857143,-99.0514285714286,-93.9542857142857,-98.32,-91.8025,-90.84142857142858,-83.9966666666667,-68.10600000000001,-87.7225,6.0,5.0,1.0,-8.056610000000001,-34.95524,False,0.013582109556327245,0.011203616558957368,0.002956298361125921
